Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
Yalumba Y Series Viognier,36511,C,116,7.94,85,1.4,7.935483870967742,17,20,135.73
Ch Lamothe de Haux Brdx Wh,41927,C,116,9.14,80,1.4,7.18018018018018,19,21,145.62
Torino Don David RSV Malbec,47009,C,116,8.44,83,1.4,8.025157232704403,19,22,139.93
Schug Pnt Nr Carneros,18972,C,115,7.09,90,1.3,8.333333333333334,29,32,127.7
Merriam Danielle Svgn Bl RRV,19320,C,115,10.32,75,1.5,7.115384615384615,27,29,154.07
Mayu Pedro Ximenez,23796,C,115,8.84,81,1.4,8.148148148148149,24,27,142.59
Hartley & Gibson Amontillad,29646,C,115,7.14,90,1.3,7.853881278538813,9,11,128.15
Eppa Red Sangria Organic,46489,C,115,7.48,88,1.3,7.694835680751174,11,13,131.16
DeKuyper Green Creme de Ment,878,C,114,7.46,87,1.3,7.713414634146342,12,14,130.42
Shady Fruit Valencia Orange,3677,C,114,8.59,81,1.4,7.3076923076923075,10,12,139.95
Pimms Cup No 1,8962,C,114,13.84,64,1.8,7.5948717948717945,13,15,177.64
Mojoshot Blue Lagoon RTD,9191,C,114,0.73,279,0.4,9.5,34,37,40.8
Hugel Gentil White,24971,C,114,7.18,89,1.3,8.39090909090909,16,19,127.95
Toasted Head Merlot Cal,33672,C,114,7.18,89,1.3,7.828282828282828,16,18,127.95
Intorcia Marsala Sweet,46298,C,114,8.16,84,1.4,7.329411764705882,20,22,136.4
Platte Valley Fireshine,2440,C,113,13.17,65,1.7,8.03225806451613,14,16,172.53
Southern Comfort Cherry,6942,C,113,7.46,87,1.3,7.777777777777778,14,16,129.84
F Coppola Directors Pnt Nr,13147,C,113,13.01,66,1.7,7.54054054054054,21,23,171.47
Simply Naked Cab Svgn,15915,C,113,2.97,138,0.8,9.0,19,22,81.93
The Dreaming Tree CC Chard,16261,C,113,8.72,80,1.4,7.355400696864112,14,16,140.38
Hess Treo Winemaker's Blend,18884,C,113,9.67,76,1.5,7.821428571428571,11,13,147.83
The Path Pnt Nr,19039,C,113,6.45,94,1.2,8.074074074074074,13,15,120.74
Charles & Charles Chard,20184,C,113,3.78,122,0.9,6.5,30,32,92.43
Benziger Merlot,24874,C,113,7.94,84,1.3,7.397435897435898,32,34,133.96
Rosemount Cab Svgn/Merlot,32065,C,113,4.76,109,1.0,8.5,19,22,103.72
Bota Box Shiraz Cal,39358,C,113,11.03,72,1.6,7.665105386416862,11,13,157.89
Pinnacle Rainbow Sherbet,3121,C,112,6.93,90,1.2,9.2,13,16,124.59
Wild Turkey American Honey,4141,C,112,0.71,281,0.4,6.862068965517241,27,29,39.88
Yealands Svgn Bl Marlborough,13766,C,112,8.21,83,1.3,7.493055555555555,15,17,135.61
Trivento Rsv Cab Malbec,20030,C,112,5.19,104,1.1,7.935483870967742,11,13,107.82
14 Hands Svgn Bl,23241,C,112,5.8,98,1.1,7.76595744680851,34,36,113.98
Bridlewood Slct Pnt Nr Lucia,23401,C,112,10.8,72,1.6,9.5,35,38,155.54
Tom Gore Cabernet Svgn CA,23649,C,112,7.89,84,1.3,7.6894409937888195,17,19,132.94
Mayu Carmenere Syrah,23797,C,112,8.84,80,1.4,8.6,24,27,140.72
Warre's Kings Tawny Porto,32074,C,112,8.6,81,1.4,7.784,10,12,138.8
McManis Merlot Cal,40561,C,112,7.48,87,1.3,7.397058823529412,15,17,129.44
Black Velvet,855,C,111,8.65,80,1.4,7.491803278688525,10,12,138.57
Piehole Apple Pie,7788,C,111,7.96,84,1.3,7.642335766423358,10,12,132.94
Bols Peach Schnapps,7828,C,111,6.39,93,1.2,7.4186046511627906,13,15,119.1
Venta Morales Tempranillo,13711,C,111,5.15,104,1.1,8.448979591836734,14,17,106.93
Smoking Loon Malbec Carancho,21353,C,111,4.59,110,1.0,8.080357142857142,12,14,100.94
Pico & Vine Cab Svgn Napa,23400,C,111,7.14,88,1.3,9.5,17,20,125.9
Mas Donis Montsant Old Vines,34763,C,111,7.79,84,1.3,7.758620689655173,17,19,131.51
Redwood Creek Pnt Grigio,37527,C,111,7.18,88,1.3,7.400990099009901,16,18,126.25
Quinta do Crasto Douro Rd,44921,C,111,9.45,77,1.4,7.278846153846154,14,16,144.84
Natura Chard Casablanca,45526,C,111,5.95,97,1.1,6.671428571428572,25,27,114.93
St Brendans Salted Caramel,1022,C,110,10.6,72,1.5,8.625,13,16,152.71
Prairie Organic Gin,9028,C,110,11.59,69,1.6,7.472222222222222,9,11,159.68
Line 39 Lk Cnty Petite Sirah,10452,C,110,6.07,95,1.2,7.214876033057851,15,17,115.56
W Hill Cab Svgn Central Cst,13745,C,110,6.57,91,1.2,7.786885245901639,32,34,120.23
Diseno Red Blend Mendoza,21861,C,110,6.62,91,1.2,8.28888888888889,62,64,120.68
Zorvino Vyds Pearz,22297,C,110,6.75,90,1.2,7.7292817679558015,11,13,121.86
Perrier Jouet Grand Brut,23067,C,110,13.81,63,1.7,7.5607476635514015,17,19,174.3
Zenato Valpolicella Clsc,27581,C,110,9.99,74,1.5,7.0638297872340425,25,27,148.25
Concannon Petite Sirah Cntrl,39282,C,110,6.84,90,1.2,6.2,14,16,122.67
Skinnygirl Vodka,3404,C,109,13.33,64,1.7,7.7407407407407405,15,17,170.47
Tooters Mango Smash 15 Pk,7898,C,109,7.57,85,1.3,7.68520568498289,11,13,128.46
Layer Cake Sea of Stones Red,22416,C,109,10.45,72,1.5,7.966292134831461,13,15,150.93
Castell Del Remei Gotim Bru,35048,C,109,7.94,83,1.3,7.946666666666666,15,17,131.56
Lindemans Bin 40 Merlot,37785,C,109,8.21,81,1.3,8.158904109589042,13,15,133.78
Ken Forrester Petit Chenin B,43489,C,109,8.05,82,1.3,6.731958762886598,17,19,132.47
Svedka 100 Vodka,3138,C,108,9.29,76,1.4,9.0,11,14,141.66
Kinky Flame Whisky,4760,C,108,13.17,64,1.7,8.142857142857142,57,59,168.66
The Messenger Telegram Red 2,17187,C,108,11.03,70,1.5,7.8933333333333335,27,29,154.35
Vindicated Cab Svgn,21552,C,108,12.9,65,1.7,8.59016393442623,21,24,166.93
Hunt & Harvest Cab Svgn,24489,C,108,12.49,66,1.6,8.440298507462687,13,15,164.25
Luigi Bosca Malbec,45601,C,108,11.03,70,1.5,8.257425742574258,16,18,154.35
Black Opal Cashmore Chard,6563,C,107,4.54,109,1.0,7.347593582887701,16,18,98.57
Skinnygirl Mojito RTD,8152,C,107,7.24,86,1.2,6.557377049180328,13,15,124.47
Yellow Tail Sweet Red Roo,16427,C,107,6.66,90,1.2,7.72987012987013,11,13,119.38
Zorvino Fragole Z Strawberry,19557,C,107,9.39,75,1.4,7.9869281045751634,16,18,141.76
Dibon Cava Brut Rsv,20204,C,107,7.58,84,1.3,6.930348258706467,11,13,127.36
Corral De Peidra Cab Svgn,22842,C,107,7.28,86,1.2,7.25,26,28,124.82
Rocca Delle Macie Chianti C,24778,C,107,14.66,60,1.8,7.472972972972973,14,16,177.13
Hahn Chard Monterey,27331,C,107,7.89,82,1.3,6.594827586206897,12,14,129.94
Edna Valley Paragon Pnt Nr,36153,C,107,9.58,75,1.4,8.12962962962963,15,17,143.18
F Coppola Sofia Bl de Bl,36383,C,107,9.39,75,1.4,7.193693693693693,11,13,141.76
Skinnygirl Sweet'Arita,3797,C,106,12.77,64,1.7,7.188622754491018,16,18,164.54
Hedges Red Columbia Vly,6687,C,106,10.06,73,1.5,7.5476190476190474,14,16,146.04
Gnarly Head Malbec,19668,C,106,6.53,90,1.2,7.71875,27,29,117.66
Tenuta Santo Pietro Viper Su,20405,C,106,10.96,70,1.5,7.957142857142857,18,20,152.43
C Y Toro Frontera Shiraz,29650,C,106,6.12,93,1.1,7.155963302752293,12,14,113.91
Yellow Tail RSV Shiraz Ausl,38011,C,106,6.45,91,1.2,7.7,13,15,116.94
Spy Valley Svgn Bl Marlboro,44911,C,106,10.52,71,1.5,7.240223463687151,13,15,149.34
Midnight Moon Cherry,686,C,105,14.95,59,1.8,8.12290502793296,18,20,177.19
Alberta Rye Dark Batch,2339,C,105,15.82,58,1.8,8.5,12,14,182.27
Sebastiani Cab Svgn Sonoma,8149,C,105,11.25,68,1.5,7.644295302013423,13,15,153.71
Cosentino The Franc,18768,C,105,8.49,79,1.3,8.446153846153846,25,27,133.53
Smoking Loon Viognier Cal,34907,C,105,6.66,89,1.2,7.973684210526316,10,12,118.26
Castano Solanera Yecla Mona,37217,C,105,8.66,78,1.3,8.034883720930232,14,16,134.86
Marietta Old Vine Cve Cal Rd,41899,C,105,8.21,80,1.3,7.25,14,16,131.3
Penn Dutch Pumpkin Cr Liquer,5014,C,104,3.96,115,0.9,6.462809917355372,12,14,90.76
Asbach Uralt German Brandy,8664,C,104,14.59,60,1.7,7.545454545454546,12,14,174.21
Colores del Sol Malbec Rsv,11745,C,104,6.12,92,1.1,8.1,14,16,112.83
24 Knots Pnt Nr,16315,C,104,9.45,74,1.4,7.133333333333334,10,12,140.2
Kendall Jackson Vntr RSV Zin,17167,C,104,6.82,87,1.2,7.433179723502304,16,18,119.1
Natura Malbec Ville de Rapel,17202,C,104,6.12,92,1.1,7.604395604395604,13,15,112.83
Natura Pnt Nr,21076,C,104,6.07,93,1.1,7.133333333333334,18,20,112.36
Hogue Cellars Rsl Wash,25918,C,104,5.88,94,1.1,7.887096774193548,20,22,110.59
Renzo Masi Chianti Rufina,36138,C,104,7.38,84,1.2,6.771428571428571,10,12,123.9
DiSaronno Cavalli Collection,1065,C,103,10.07,72,1.4,6.816901408450704,11,13,144.03
Cabot Trail Maple Whisky,3518,C,103,15.74,57,1.8,8.857142857142858,19,21,180.07
Dom Ste Michelle Brut Cuvee,6358,C,103,8.55,78,1.3,7.364161849710983,16,18,132.72
Atamisque Malbec,16540,C,103,13.63,61,1.7,7.255,14,16,167.57
Skinnygirl Rose Wine,17458,C,103,6.03,92,1.1,7.17037037037037,11,13,111.45
Murphy-Goode Chard Sonoma,25704,C,103,7.53,83,1.2,7.742063492063492,12,14,124.55
C R Clrs Fortissimo Red,26551,C,103,14.19,60,1.7,7.225,7,9,170.97
Castano Yecla Monastrell Red,38822,C,103,6.84,87,1.2,8.48076923076923,12,14,118.7
Gekkeikan Sake Zipang Spklg,44761,C,103,3.68,118,0.9,7.72093023255814,16,18,87.07
Dr McGillicudy's Buttersctch,5371,C,102,0.79,254,0.4,8.666666666666666,38,40,40.14
Achaval Ferrer Malbec,15146,C,102,12.92,63,1.6,7.791666666666667,14,16,162.35
R Mondavi Pvt Sel Merlot,33684,C,102,10.32,70,1.5,7.401315789473684,9,11,145.1
Edna Valley San Luis Cab Svg,43379,C,102,9.58,73,1.4,7.552238805970149,12,14,139.8
Ruffino Il Ducale Toscana Rd,44217,C,102,10.95,68,1.5,7.467889908256881,14,16,149.46
Monkey Bay Svgn Bl,13731,C,101,11.61,66,1.5,7.378109452736318,12,14,153.14
Peter Lehmann Layers Red,14415,C,101,5.4,97,1.0,8.69281045751634,25,27,104.44
The Divining Rod Cab Svgn,17209,C,101,11.03,68,1.5,7.359550561797753,16,18,149.27
Loukatos Mavrodaphne Patras,17471,C,101,7.14,84,1.2,7.46078431372549,16,18,120.1
Once Upon A Vine Pnt Nr,18778,C,101,6.62,87,1.2,7.2317073170731705,12,14,115.64
Dom La Fage Cve Nicholas VdP,24558,C,101,7.43,82,1.2,8.515151515151516,27,29,122.51
Sella & Mosca Vermentino Ca,25375,C,101,6.66,87,1.2,7.975,17,19,115.99
Hogue Cellars Chard Wash,25915,C,101,4.39,107,0.9,9.333333333333334,16,19,94.17
Bertani Due Uve White Venet,27528,C,101,7.33,83,1.2,7.709677419354839,25,27,121.68
Crios Rose of Malbec,41412,C,101,8.21,78,1.3,8.509803921568627,21,23,128.78
Black Stallion Carnrs Pnt Nr,22938,C,100,12.74,63,1.6,7.769911504424779,13,15,159.63
BV Coastal Estate Merlot,25581,C,100,6.07,91,1.1,7.225806451612903,17,19,110.18
Russian Standard Vodka,3365,C,99,18.65,52,1.9,8.849056603773585,10,12,192.17
Bacardi Mojito Cocktail,5560,C,99,12.79,62,1.6,7.668384879725086,11,13,159.14
Piehole Apple Pie,7902,C,99,0.72,262,0.4,8.0,40,42,37.76
Ferrari Carano Pnt Grigio,21627,C,99,10.27,69,1.4,7.320610687022901,10,12,142.6
MSH Cellars Svgn Bl Napa Vly,22475,C,99,8.21,78,1.3,10.2,36,39,127.5
BV Coastal Estate Chard,22531,C,99,6.16,90,1.1,7.2,41,43,110.44
Ch Bruni Brdx Superieur,25187,C,99,7.53,81,1.2,7.875,31,33,122.1
Flag Hill Red Raspberry Fru,39491,C,99,8.1,78,1.3,8.006666666666666,9,11,126.64
Woop Woop Shiraz,44292,C,99,8.38,77,1.3,7.481481481481482,14,16,128.81
Stolichnaya Vanil,162,C,98,18.39,52,1.9,8.0625,10,12,189.86
Forbidden Secret Wh Choc Cr,8443,C,98,14.7,58,1.7,7.814285714285714,11,13,169.74
Yellow Tail Svgn Bl,13793,C,98,6.8,85,1.2,7.808421052631579,12,14,115.45
Zum Rsl,16400,C,98,6.7,86,1.1,7.543478260869565,16,18,114.6
Gerard Bertrand Pnt Nr Rsv,16460,C,98,8.16,77,1.3,8.142857142857142,15,17,126.47
Santa Rita RSV Chard,23423,C,98,6.8,85,1.2,8.037037037037036,9,11,115.45
Canella Bellini Fusion,23943,C,98,4.13,109,0.9,7.4714285714285715,27,29,89.97
Sycamore Lane Merlot Cal,33213,C,98,3.5,118,0.8,6.636363636363637,75,77,82.83
Matua Pnt Nr Marlboro,41912,C,98,8.21,77,1.3,7.305882352941176,14,16,126.85
Newton Claret Napa,43784,C,98,11.56,65,1.5,7.818181818181818,18,20,150.52
Juarez Gold Tequila,541,C,97,7.8,79,1.2,6.916666666666667,22,24,123.01
Bird Dog Chocolate Whiskey,2880,C,97,11.02,66,1.5,8.6,18,20,146.22
Jeremiah Weed Sweet Tea Vdka,3395,C,97,10.15,69,1.4,7.205882352941177,12,14,140.32
Richards Wild Irish Rose Red,6472,C,97,2.71,134,0.7,8.724137931034482,18,20,72.51
14 Hands Hot to Trot White,14130,C,97,5.8,91,1.1,7.503597122302159,23,25,106.08
Duboeuf Bjls Nouveau 2014,16380,C,97,4.69,102,1.0,7.758064516129032,32,34,95.39
Casal Garcia Vinho Verde Ros,21573,C,97,4.76,101,1.0,7.684684684684685,9,11,96.1
Villa Cornaro Prosecco,22389,C,97,3.37,120,0.8,7.918367346938775,14,16,80.86
Ch Francs Brdx CdFrancs,25337,C,97,11.18,66,1.5,7.037037037037037,13,15,147.27
Florio Sweet Marsala Italy,31347,C,97,7.09,83,1.2,7.495238095238095,23,25,117.28
McWilliams Hanwood Est Chard,36370,C,97,4.63,102,1.0,7.75,16,18,94.78
Christian Bros Ruby Port,190,C,96,3.06,125,0.8,8.88888888888889,167,169,76.65
Flag Hill Cranberry Liqueur,5633,C,96,11.62,64,1.5,8.607476635514018,22,24,149.37
Fireball Cinnamon Whisky,5954,C,96,2.96,127,0.8,8.5,0,2,75.39
Marie Brizard Chocolat Royal,6990,C,96,12.41,62,1.5,6.707692307692308,8,10,154.36
Ty Ku Sake Junmai Ginjo,14329,C,96,8.6,75,1.3,7.896907216494846,9,11,128.5
Stone Barn Chard,14962,C,96,3.19,123,0.8,7.777777777777778,1,3,78.26
Foss Marai Prosecco,22014,C,96,9.93,70,1.4,7.451923076923077,14,16,138.08
Gallo Twin Valley Wh Merlot,33879,C,96,6.45,86,1.1,7.858333333333333,13,15,111.28
Ch Beauchene Cotes du Rhone,43224,C,96,9.2,72,1.3,6.9245283018867925,18,20,132.91
Nino Franco Prosecco Rustic,45240,C,96,9.99,69,1.4,8.487603305785123,11,13,138.5
Norton RSV Malbec Mendoza,45392,C,96,12.25,63,1.5,7.241758241758242,12,14,153.37
J Vineyards Brut 20,46551,C,96,16.77,54,1.8,7.733333333333333,25,27,179.45
New Amsterdam Citron Vodka,3414,C,95,2.96,127,0.7,7.68520568498289,8,10,74.99
Parducci Cab Svgn,10606,C,95,7.58,79,1.2,7.530612244897959,10,12,120.01
Alphonse Dolly Sancerre Cvee,13225,C,95,13.6,59,1.6,7.126436781609195,16,18,160.75
Bridlewood Cab Svgn,15264,C,95,9.52,71,1.3,7.818840579710145,11,13,134.49
The Naked Grape Pnt Grigio,19376,C,95,11.91,63,1.5,7.625,15,17,150.43
Ilauri Le Pinciaie 10 Red,20400,C,95,9.08,72,1.3,8.0,17,19,131.35
Millet Roger Sancerrre,21735,C,95,17.56,52,1.8,7.7696969696969695,15,17,182.66
Rosemount Gewurz/Rsl,23249,C,95,6.57,85,1.1,7.921052631578948,15,17,111.73
Macrostie Carneros Chard,25963,C,95,11.61,64,1.5,7.982456140350878,14,16,148.52
Peter Vella Delicious Red B/,27176,C,95,9.2,72,1.3,7.464174454828661,9,11,132.21
Ch Graville Lacoste Graves,31581,C,95,11.18,65,1.5,8.042372881355933,11,13,145.75
Jelu Malbec San Juan,43129,C,95,7.89,78,1.2,7.298136645962733,10,12,122.44
Casa Liliana Good Chianti,44733,C,95,5.19,96,1.0,7.388888888888889,18,20,99.3
DeKuyper Cane Trial Pack,1483,C,94,2.39,140,0.7,8.26923076923077,189,191,67.03
Ch Bonnet Red,25777,C,94,8.96,72,1.3,8.386363636363637,13,15,129.79
Montinore Pnt Nr Ore,36268,C,94,11.84,63,1.5,7.679611650485437,22,24,149.2
Crown Royal w/2 Glasses,366,C,93,17.18,52,1.8,9.5,20,22,178.76
Skyy Barcraft White Sangria,3943,C,93,9.59,70,1.3,7.142857142857143,19,21,133.56
Korbel Natural,6481,C,93,10.13,68,1.4,7.608695652173913,15,17,137.27
Gallo Twin Valley Hearty Bur,6635,C,93,6.66,84,1.1,7.557823129251701,11,13,111.3
Placido Sangiovese Primever,7371,C,93,7.14,81,1.1,7.742424242424242,11,13,115.24
Latour Beaujolais Villages,8877,C,93,9.08,72,1.3,7.531914893617022,9,11,129.96
C Y Toro Privada Rsv Casa Di,10715,C,93,9.14,71,1.3,7.666666666666667,10,12,130.39
F Coppola Rosso Bianco Chard,14433,C,93,5.8,90,1.0,7.604060913705584,10,12,103.87
Bitch Grenache Aragon,16727,C,93,9.33,71,1.3,7.885416666666667,9,11,131.74
Picket Fence Chard RRV,18617,C,93,8.38,74,1.3,7.765625,16,18,124.85
Penfolds Bin 8 Cab Svgn/Shir,19282,C,93,13.51,59,1.6,7.5588235294117645,13,15,158.52
Santa Rita Secret Rsv Red,23452,C,93,5.84,89,1.0,7.944444444444445,20,22,104.22
Fess Parker Chard,29810,C,93,10.38,67,1.4,7.663793103448276,9,11,138.95
Freixenet Cordon Negro Brut,34123,C,93,2.57,135,0.7,7.595959595959596,23,25,69.14
Frei Bros RSV Svgn Bl RRV,45876,C,93,10.34,67,1.4,7.421052631578948,15,17,138.68
DeKuyper Peachtree Schnapps,806,C,92,10.39,67,1.4,7.598130841121495,7,9,138.27
Sauza 901 Silver Tequila,2988,C,92,18.51,50,1.8,7.652892561983471,8,10,184.55
Paul Masson Rose Carafe,8272,C,92,2.92,126,0.7,6.82051282051282,39,41,73.3
Black Box Rsl,12211,C,92,11.03,65,1.4,7.952254641909814,12,14,142.46
Canyon Rd Pnt Grigio,13933,C,92,5.91,88,1.0,7.631147540983607,20,22,104.28
Moonlight Meadery Sensual,17350,C,92,9.45,70,1.3,7.009708737864078,15,17,131.86
Torremoron Tinto,20439,C,92,4.68,99,0.9,7.0,14,16,92.8
Kim Crawford Svgn Bl Sptfire,21326,C,92,16.23,53,1.7,7.365,14,16,172.81
Ch Croix de Jaugue St Emilio,25201,C,92,12.41,61,1.5,6.473684210526316,21,23,151.11
Sierra Cantabria Unica Rsv 0,25496,C,92,12.24,61,1.5,8.222222222222221,23,25,150.07
Pepperwood Grove Chard,26391,C,92,5.15,95,1.0,8.175675675675675,14,16,97.35
Jewell Towne Marechal Foch,35318,C,92,7.46,79,1.2,7.179245283018868,12,14,117.16
Acquese Moscato D'Asti Dolc,38416,C,92,8.21,75,1.2,7.810185185185185,18,20,122.91
Pike Creek Canadian Whisky,2171,C,91,14.49,56,1.6,7.120833333333334,9,11,162.39
Midnight Moon Peach,6102,C,91,14.38,56,1.6,9.228571428571428,7,9,161.78
Riunite Raspberry,6240,C,91,5.36,92,1.0,7.693121693121693,10,12,98.77
Black Opal Cashmore Cab Svgn,6724,C,91,4.63,99,0.9,7.26875,9,11,91.8
Villa Sandi Il Fresco Prosec,13967,C,91,8.6,73,1.2,8.666666666666666,9,11,125.11
Martinshof Gruner Veltliner,17001,C,91,9.33,70,1.3,7.054794520547945,12,14,130.31
Taken Red Napa,21824,C,91,16.89,52,1.8,7.275510204081633,9,11,175.33
Deep Eddy Vodka,3930,C,90,12.11,61,1.5,7.928571428571429,13,15,147.64
Cesari Bardolino Chiaretto,21412,C,90,5.29,92,1.0,9.384615384615385,37,39,97.58
LaBelle Winery 2013 Dry Rsl,22566,C,90,9.14,70,1.3,8.242424242424242,20,22,128.27
Catena RSV Chard,23974,C,90,11.25,63,1.4,8.146788990825687,16,18,142.3
Fleur de Pnt Nr California,24398,C,90,11.4,63,1.4,7.934782608695652,9,11,143.25
Simi Merlot,34219,C,90,11.18,63,1.4,7.705882352941177,15,17,141.86
Canyon Oaks Chard Cal,38105,C,90,8.05,75,1.2,7.8023255813953485,40,42,120.38
M & R Asti,6638,C,89,16.23,52,1.7,7.330024813895782,9,11,169.97
Diseno Malbec Mendoza,10576,C,89,6.49,83,1.1,8.116504854368932,12,14,107.48
Canyon Rd Chard,11153,C,89,5.99,86,1.0,7.7,17,19,103.26
Canyon Rd Cab Svgn,11154,C,89,6.03,86,1.0,7.8,33,35,103.6
Moonstone Asian Pear Sake,16725,C,89,4.63,98,0.9,7.971698113207547,15,17,90.78
LaBelle Winery Seyval Blanc,18879,C,89,9.99,67,1.3,7.8584070796460175,16,18,133.35
Ch Les Granges Brdx,25188,C,89,6.16,85,1.0,7.666666666666667,11,13,104.71
El Coto de Rioja Crianza Re,33265,C,89,7.43,77,1.2,7.8,12,14,115.0
Fat Bastard Shiraz,34138,C,89,7.28,78,1.1,7.205882352941177,15,17,113.84
Menage a Trois Rose Blend,43737,C,89,5.88,87,1.0,7.315789473684211,17,19,102.31
Oops Voluptuous Beauty Valle,46783,C,89,5.74,88,1.0,8.366666666666667,10,12,101.08
Absolut Grapevine Vodka,3061,C,88,11.32,62,1.4,8.733333333333333,16,18,141.15
Monte Alban Mezcal,3998,C,88,13.63,57,1.5,7.769230769230769,9,11,154.88
Calico Jack Pin/Coc Rum,4073,C,88,5.9,86,1.0,8.6,18,20,101.9
Pitu Brazilian Rum Cachaca,4453,C,88,10.76,64,1.4,7.875,19,21,137.61
Cruzan Estate Diamond Dark,4846,C,88,12.4,60,1.5,7.599033816425121,9,11,147.73
Villa Massa Limoncello,5689,C,88,14.84,54,1.6,7.7228260869565215,8,10,161.62
Tooters Apple-tini 15 Pk,7849,C,88,7.8,75,1.2,7.982494529540482,15,17,117.17
Hob Nob Wicked Red,17500,C,88,6.45,83,1.1,8.235294117647058,11,13,106.55
Peter Paul Live Free or Die,19269,C,88,15.64,53,1.7,6.304347826086956,22,24,165.91
Bon Affair Svgn Bl Spritzer,24377,C,88,3.39,114,0.8,6.854166666666667,28,30,77.24
Tenshen White,24975,C,88,11.76,61,1.4,8.5,14,16,143.87
Canyon Rd Merlot Cal,26811,C,88,3.19,117,0.8,7.6455696202531644,65,67,74.93
Taylor Golden Sherry,6357,C,87,9.2,69,1.3,8.014150943396226,16,18,126.52
Kim Crawford Chard Unoaked,17906,C,87,10.59,64,1.4,7.723270440251572,16,18,135.74
Cooks Spumante,21957,C,87,4.82,95,0.9,7.274881516587678,14,16,91.58
Black Opal Cshmre Cab/Merlot,22757,C,87,4.82,95,0.9,7.729508196721311,15,17,91.58
A Bichot Morgon Les Charmes,25286,C,87,12.83,58,1.5,8.333333333333334,37,39,149.41
Columbia Crest Twin Vns Merl,37943,C,87,4.66,97,0.9,7.774436090225564,12,14,90.05
R M Woodbridge Merlot Cal,39600,C,87,4.54,98,0.9,7.838235294117647,16,18,88.88
Natura Valle Cab Svgn Cntrl,45524,C,87,5.8,87,1.0,7.241935483870968,21,23,100.46
Primaterra Primitivo,46599,C,87,7.53,76,1.1,6.75,11,13,114.46
Marcus James Malbec Mendoza,47027,C,87,5.29,91,1.0,7.964285714285714,9,11,95.94
Malibu Red,5077,C,86,12.69,58,1.5,8.384615384615385,12,14,147.74
Linie Aquavit,5322,C,86,17.42,50,1.7,7.886792452830188,11,13,173.1
Skinnygirl Pina Colada,5678,C,86,6.93,79,1.1,9.3,43,45,109.18
Ch Fage Graves de Vayres,14191,C,86,7.28,77,1.1,7.0,22,24,111.9
If You See Kay Red Blend,17981,C,86,11.68,61,1.4,7.72972972972973,15,17,141.74
Ponzi Tavola Pnt Nr,17985,C,86,16.43,51,1.7,7.801980198019802,9,11,168.11
Ravenswood Besieged Red,19908,C,86,9.58,67,1.3,7.328767123287672,12,14,128.37
Pepperwood Grove Pnt Nr,26392,C,86,5.29,90,1.0,7.35064935064935,17,19,95.39
Sandeman Character Sherry,29461,C,86,5.8,86,1.0,7.661375661375661,11,13,99.88
Heron Pnt Nr Cal,41629,C,86,9.08,69,1.2,7.042857142857143,10,12,124.97
Root 1 Svgn Bl,45752,C,86,6.53,81,1.1,7.595238095238095,9,11,105.98
Beringer Chard Napa Vly,8704,C,85,8.66,70,1.2,7.51063829787234,18,20,121.33
Charles Smith Boom Boom Syra,10441,C,85,10.95,62,1.4,7.184873949579832,10,12,136.44
LaBelle Winery Riesling,14381,C,85,10.52,64,1.3,7.923728813559322,17,19,133.73
Honoro Vera Garnacha Calatyd,17219,C,85,6.45,81,1.0,7.780487804878049,15,17,104.71
Plungerhead Lodi Cab Svgn,20167,C,85,8.78,70,1.2,8.11304347826087,11,13,122.17
Frey Vyds Organic Agrul Red,20932,C,85,7.43,76,1.1,7.475409836065574,12,14,112.39
Gerard Bertrand Languedoc Rg,22340,C,85,7.14,77,1.1,8.9,16,18,110.17
Mionetto Frizzante Prosecco,32592,C,85,11.56,61,1.4,8.826086956521738,10,12,140.19
Pepperwood Grove Merlot Cal,32679,C,85,5.44,88,1.0,8.263157894736842,13,15,96.17
Salmon Run Chard/Rsl,44529,C,85,6.89,79,1.1,6.930232558139535,15,17,108.23
McCormick Blended Whiskey,602,C,84,5.36,89,0.9,8.063636363636364,26,28,94.9
Sobieski Vodka,3159,C,84,5.59,87,1.0,11.5,11,14,96.91
Colombo Marsala Dry,7284,C,84,6.16,83,1.0,8.08235294117647,10,12,101.73
F Coppola Sophia Chard,20160,C,84,10.27,64,1.3,7.461538461538462,17,19,131.35
Flight Song Svgn Bl,21151,C,84,6.57,80,1.0,7.348571428571429,13,15,105.06
10 Span Chard CC,21374,C,84,5.13,90,0.9,7.321428571428571,22,24,92.84
Penny Wise Svgn Bl,23260,C,84,4.51,97,0.9,6.0,16,17,87.05
Santa Julia Malbec,23968,C,84,8.27,71,1.2,7.571428571428571,22,24,117.87
Kendall Jackson Vt RSV Syrah,32604,C,84,6.5,80,1.0,7.381818181818182,13,15,104.5
Beringer Classic Wh Znfdl,41974,C,84,4.57,96,0.9,7.2473867595818815,11,13,87.62
3 Blind Moose Merlot Cal,42603,C,84,5.99,84,1.0,8.022222222222222,19,21,100.32
Kendall Jackson Sp Sel Chard,44729,C,84,8.16,72,1.2,7.804347826086956,23,25,117.09
Drambuie Glass Pack,1019,C,83,20.6,45,1.8,9.59016393442623,13,15,184.92
Cutty Sark Prohibition,2112,C,83,15.55,52,1.6,7.526315789473684,10,12,160.67
Ophir London Dry Gin,2382,C,83,19.22,46,1.8,8.3125,14,16,178.63
