Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
Stolichnaya Razberi,3694,A,1219,13.48,213,5.7,7.835473515248796,102,128,573.27
Dr McGillicuddy's Menth Trav,5109,A,1213,9.84,248,4.9,7.536429143314652,112,137,488.59
Cruzan Aged Dark Rum,8451,A,1213,12.59,219,5.5,7.503860219422998,98,123,552.66
Jagermeister Liqueur,5440,A,1212,25.92,153,7.9,7.847728407388916,82,108,792.65
Apothic Dark,20357,A,1211,5.19,342,3.5,7.479343520090549,119,144,354.54
Ravenswood Vints Blend Znfdl,26463,A,1210,4.65,361,3.4,7.705980066445183,62,88,335.46
Jack Daniels Tennessee Honey,2760,A,1208,28.02,147,8.2,7.5885817852288175,99,124,822.78
Jadot Beaujolais Villages,8627,A,1207,5.47,332,3.6,7.56858407079646,116,141,363.38
Ezra Brooks,8626,A,1205,11.67,227,5.3,7.612492033142129,77,102,530.33
Franzia Chillable Red Tap,18988,A,1205,8.9,260,4.6,7.678998609179416,69,94,463.13
Cline Znfdl Cal,27644,A,1204,6.84,297,4.1,7.782608695652174,114,140,405.84
Redwood Creek Pnt Nr Cal,39593,A,1203,6.33,308,3.9,7.722662440570523,91,116,390.26
Pinnacle Citrus Vodka,3706,A,1202,13.07,214,5.6,7.505134474327629,96,121,560.54
Dr McGillicuddy's Mentholmnt,5105,A,1199,14.81,201,6.0,7.566172957477305,90,115,595.94
Cribari Marsala,7254,A,1198,5.36,334,3.6,7.639153439153439,83,108,358.37
Courvoisier VS Cognac,4678,A,1197,16.78,189,6.3,7.561224489795919,83,108,633.81
Ciroc Peach Vodka,3316,A,1196,8.88,260,4.6,7.69935691318328,149,174,460.88
Ch St Jean Chard California,6688,A,1189,5.81,320,3.7,7.264705882352941,74,98,371.7
Clean Slate Rsl Mosel,44228,A,1189,5.59,326,3.6,7.5272277227722775,95,120,364.6
DeKuyper Buttershots Schnpps,5254,A,1187,7.35,284,4.2,7.781115879828326,102,127,417.72
Amaretto DiSaronno,5311,A,1183,23.7,158,7.5,7.663083765752409,91,116,748.83
Capt Morgan Spiced Rum 100,4330,A,1182,20.79,169,7.0,7.527053328143246,103,127,701.06
Taylor Red Port,6213,A,1182,5.51,328,3.6,7.81697247706422,80,105,360.91
Veuve Clicquot Brut Yellow,6654,A,1177,27.2,147,8.0,7.437142857142857,104,128,800.18
Jagermeister Liqueur,812,A,1176,17.03,186,6.3,7.798076923076923,74,99,632.89
R M Woodbridge Pnt Nr,43809,A,1173,5.84,317,3.7,7.7432216905901115,113,138,370.14
Vendange Chard,6938,A,1171,4.69,353,3.3,7.660377358490566,98,123,331.42
Dewars White Label,2665,A,1167,15.38,195,6.0,7.748427672955975,78,103,599.14
C Y Toro Frontera Malbec,12586,A,1164,4.82,347,3.4,7.550269299820466,101,125,334.98
Cupcake Merlot,11827,A,1162,4.76,349,3.3,7.693424423569598,87,111,332.6
Jim Beam Honey,1373,A,1155,10.36,236,4.9,7.78,90,115,489.2
Evan Williams Honey Reserve,3089,A,1155,7.63,275,4.2,7.215762273901809,92,115,419.83
Duckhorn Decoy Cab Svgn,14672,A,1153,11.61,223,5.2,7.719559585492228,207,231,517.42
Buffalo Trace Bourbon,1767,A,1152,19.37,172,6.7,7.562393162393162,93,117,668.05
R Mondavi Merlot Pvt Sel,29212,A,1152,4.59,354,3.3,8.013196480938417,109,134,325.2
Mr Boston Light Rum,4359,A,1151,7.71,273,4.2,7.518064911206369,59,83,421.29
Paul Dolan 12 Cab Svgn,23355,A,1151,9.6,245,4.7,8.548076923076923,127,154,470.1
E & J Brandy VS,8214,A,1145,7.4,278,4.1,7.7887678122380555,81,105,411.66
Matua Svgn Bl Marlboro,39146,A,1143,6.53,296,3.9,7.245770258236866,106,129,386.36
R M Woodbridge Chard Cal,6420,A,1141,3.18,424,2.7,7.609375,98,122,269.38
Jim Beam Maple,2373,A,1140,10.29,235,4.9,7.801692865779928,114,138,484.37
Hartley Brandy VS,4762,A,1140,5.03,337,3.4,7.692384769539078,78,102,338.65
Bombay Dry Gin,3436,A,1138,18.79,174,6.5,7.759822910902048,87,111,653.96
Stolichnaya,3938,A,1137,12.49,213,5.3,7.763652641002686,87,111,532.94
M & R Sweet Vermouth,7221,A,1137,6.86,288,3.9,7.844140625,74,98,394.96
Darkhorse Cab Svgn,17876,A,1137,5.33,327,3.5,7.53997378768021,112,135,348.14
Skyy Vodka,3834,A,1133,10.23,235,4.8,7.190072639225182,70,92,481.47
New Amsterdam Gin,2152,A,1128,7.19,280,4.0,7.660268714011516,89,113,402.75
R M Woodbridge Chard,10723,A,1127,6.2,301,3.7,7.685250079643199,111,135,373.83
Three Olives Vodka,3808,A,1124,9.55,243,4.6,7.207302709069493,97,119,463.34
Klinker Brick Old Vine Znfdl,10266,A,1123,9.58,242,4.6,7.861435726210351,108,132,463.86
